[2026-06-03T08:12:14.674Z] [INFO] ApiClient initialized for https://www.brya.com
[2026-06-03T08:12:14.674Z] [INFO] GET /
[2026-06-03T08:12:14.783Z] [INFO] HEAD https://www.brya.com/_next/static/css/801cd4eae2be30b6.css
[2026-06-03T08:12:14.789Z] [INFO] HEAD https://www.brya.com/_next/static/css/3f7735c95346b20a.css
[2026-06-03T08:12:15.111Z] [INFO] HEAD https://www.brya.com/_next/static/css/0e7f090af69e5839.css
[2026-06-03T08:12:15.433Z] [INFO] HEAD https://www.brya.com/_next/static/css/cb8544a4ef612ecd.css
[2026-06-03T08:12:15.752Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/webpack-b89acefab1e8e137.js
[2026-06-03T08:12:16.070Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4bd1b696-100b9d70ed4e49c1.js
[2026-06-03T08:12:16.391Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9da6db1e-73b2aa973a9b8780.js
[2026-06-03T08:12:16.717Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/1255-162581d9bc99b472.js
[2026-06-03T08:12:17.033Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/main-app-f16e764289c0d84e.js
[2026-06-03T08:12:17.351Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/ee560e2c-983bcac627af9fde.js
[2026-06-03T08:12:17.356Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/39e18b24-78986d98cff8e162.js
[2026-06-03T08:12:17.678Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/c7fa2fc2-154a2727a35de7d5.js
[2026-06-03T08:12:17.995Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/53c13509-617eec67df943ceb.js
[2026-06-03T08:12:18.315Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8e1d74a4-c6990256990100f1.js
[2026-06-03T08:12:18.322Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/795d4814-541cc17639636796.js
[2026-06-03T08:12:18.327Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/870fdd6f-94840e121682fb27.js
[2026-06-03T08:12:18.333Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/812-563e616e82fed7d3.js
[2026-06-03T08:12:18.338Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/2619-04bc32f026a0d946.js
[2026-06-03T08:12:18.659Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8381-2aee38c6b3e7afc9.js
[2026-06-03T08:12:18.976Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/5889-ffb931142bdcda70.js
[2026-06-03T08:12:19.295Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/1356-e227f5618279b1ef.js
[2026-06-03T08:12:19.612Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/302-4155030d22ffa409.js
[2026-06-03T08:12:19.931Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/6302-246a9b4cc3026398.js
[2026-06-03T08:12:20.250Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4805-e444fc05a123a39e.js
[2026-06-03T08:12:20.570Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/7291-6a408920a002c548.js
[2026-06-03T08:12:20.886Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8923-2c5dec4c510af613.js
[2026-06-03T08:12:21.204Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9272-773502f361f26014.js
[2026-06-03T08:12:21.521Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4284-7476064de9891969.js
[2026-06-03T08:12:21.833Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9772-31933c0856fdc317.js
[2026-06-03T08:12:22.150Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/974-9334e3a806913cc7.js
[2026-06-03T08:12:22.466Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/283-9d8b4ccdaae03a4f.js
[2026-06-03T08:12:22.781Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4492-30685143d08d24e4.js
[2026-06-03T08:12:23.098Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/1924-b7cc88613c9a5cc0.js
[2026-06-03T08:12:23.416Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8667-3df8565640301d63.js
[2026-06-03T08:12:23.733Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9433-208cfb3caac53461.js
[2026-06-03T08:12:24.051Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/7911-4efcff2b55897d1a.js
[2026-06-03T08:12:24.366Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/6317-88007400c32f03ea.js
[2026-06-03T08:12:24.680Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/430-ea853700c4260c13.js
[2026-06-03T08:12:24.997Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/404-303da11e476efc62.js
[2026-06-03T08:12:25.316Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9919-3284e0276d40a5e5.js
