[2026-06-07T07:02:52.183Z] [INFO] ApiClient initialized for https://www.brya.com
[2026-06-07T07:02:52.183Z] [INFO] GET /
[2026-06-07T07:02:52.358Z] [INFO] HEAD https://www.brya.com/_next/static/css/801cd4eae2be30b6.css
[2026-06-07T07:02:52.378Z] [INFO] HEAD https://www.brya.com/_next/static/css/cc448013a6babda7.css
[2026-06-07T07:02:52.718Z] [INFO] HEAD https://www.brya.com/_next/static/css/0e7f090af69e5839.css
[2026-06-07T07:02:53.061Z] [INFO] HEAD https://www.brya.com/_next/static/css/cb8544a4ef612ecd.css
[2026-06-07T07:02:53.396Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/webpack-e3e2529f5169c16a.js
[2026-06-07T07:02:53.735Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4bd1b696-100b9d70ed4e49c1.js
[2026-06-07T07:02:54.080Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9da6db1e-73b2aa973a9b8780.js
[2026-06-07T07:02:54.418Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/1255-162581d9bc99b472.js
[2026-06-07T07:02:54.758Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/main-app-5597a65de7113cd5.js
[2026-06-07T07:02:55.166Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/ee560e2c-255e3af5c2d07b72.js
[2026-06-07T07:02:55.186Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/39e18b24-78986d98cff8e162.js
[2026-06-07T07:02:55.525Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/c7fa2fc2-154a2727a35de7d5.js
[2026-06-07T07:02:55.859Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/53c13509-617eec67df943ceb.js
[2026-06-07T07:02:56.197Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8e1d74a4-c6990256990100f1.js
[2026-06-07T07:02:56.216Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/795d4814-541cc17639636796.js
[2026-06-07T07:02:56.234Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/870fdd6f-94840e121682fb27.js
[2026-06-07T07:02:56.252Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/812-563e616e82fed7d3.js
[2026-06-07T07:02:56.288Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/2619-04bc32f026a0d946.js
[2026-06-07T07:02:56.620Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8381-2aee38c6b3e7afc9.js
[2026-06-07T07:02:56.956Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/302-4155030d22ffa409.js
[2026-06-07T07:02:57.289Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/5889-ffb931142bdcda70.js
[2026-06-07T07:02:57.622Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/1356-e227f5618279b1ef.js
[2026-06-07T07:02:57.955Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/6302-246a9b4cc3026398.js
[2026-06-07T07:02:58.294Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4805-e444fc05a123a39e.js
[2026-06-07T07:02:58.633Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9272-773502f361f26014.js
[2026-06-07T07:02:58.981Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/7291-6a408920a002c548.js
[2026-06-07T07:02:59.315Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8923-2c5dec4c510af613.js
[2026-06-07T07:02:59.643Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4284-7476064de9891969.js
[2026-06-07T07:02:59.973Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/2505-efcf190b2dcd3682.js
[2026-06-07T07:03:00.309Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/974-9334e3a806913cc7.js
[2026-06-07T07:03:00.640Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4492-30685143d08d24e4.js
[2026-06-07T07:03:00.974Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/5938-80df1437a1da4514.js
[2026-06-07T07:03:01.312Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/1924-b7cc88613c9a5cc0.js
[2026-06-07T07:03:01.644Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8667-3df8565640301d63.js
[2026-06-07T07:03:01.973Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9433-208cfb3caac53461.js
[2026-06-07T07:03:02.310Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/7911-4efcff2b55897d1a.js
[2026-06-07T07:03:02.662Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/6317-88007400c32f03ea.js
[2026-06-07T07:03:02.995Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/430-ea853700c4260c13.js
[2026-06-07T07:03:03.327Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/404-303da11e476efc62.js
[2026-06-07T07:03:03.666Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9919-3284e0276d40a5e5.js
