[2026-06-04T07:21:17.043Z] [INFO] ApiClient initialized for https://www.brya.com
[2026-06-04T07:21:17.043Z] [INFO] GET /
[2026-06-04T07:21:17.411Z] [INFO] HEAD https://www.brya.com/_next/static/css/801cd4eae2be30b6.css
[2026-06-04T07:21:17.670Z] [INFO] HEAD https://www.brya.com/_next/static/css/992c83741c073a28.css
[2026-06-04T07:21:17.931Z] [INFO] HEAD https://www.brya.com/_next/static/css/0e7f090af69e5839.css
[2026-06-04T07:21:18.173Z] [INFO] HEAD https://www.brya.com/_next/static/css/cb8544a4ef612ecd.css
[2026-06-04T07:21:18.445Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/webpack-b89acefab1e8e137.js
[2026-06-04T07:21:18.764Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4bd1b696-100b9d70ed4e49c1.js
[2026-06-04T07:21:19.002Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9da6db1e-73b2aa973a9b8780.js
[2026-06-04T07:21:19.255Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/1255-162581d9bc99b472.js
[2026-06-04T07:21:19.560Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/main-app-c80385b6a8f50c35.js
[2026-06-04T07:21:19.809Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/ee560e2c-983bcac627af9fde.js
[2026-06-04T07:21:20.080Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/39e18b24-78986d98cff8e162.js
[2026-06-04T07:21:20.368Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/c7fa2fc2-154a2727a35de7d5.js
[2026-06-04T07:21:20.609Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/53c13509-617eec67df943ceb.js
[2026-06-04T07:21:20.860Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8e1d74a4-c6990256990100f1.js
[2026-06-04T07:21:21.128Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/795d4814-541cc17639636796.js
[2026-06-04T07:21:21.397Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/870fdd6f-94840e121682fb27.js
[2026-06-04T07:21:21.641Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/812-563e616e82fed7d3.js
[2026-06-04T07:21:21.877Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/2619-04bc32f026a0d946.js
[2026-06-04T07:21:22.133Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8381-2aee38c6b3e7afc9.js
[2026-06-04T07:21:22.390Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/5889-ffb931142bdcda70.js
[2026-06-04T07:21:22.647Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/1356-e227f5618279b1ef.js
[2026-06-04T07:21:22.940Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/302-4155030d22ffa409.js
[2026-06-04T07:21:23.193Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/6302-246a9b4cc3026398.js
[2026-06-04T07:21:23.458Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4805-e444fc05a123a39e.js
[2026-06-04T07:21:23.732Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/7291-6a408920a002c548.js
[2026-06-04T07:21:24.037Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8923-2c5dec4c510af613.js
[2026-06-04T07:21:24.291Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9272-773502f361f26014.js
[2026-06-04T07:21:24.585Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4284-7476064de9891969.js
[2026-06-04T07:21:24.821Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9772-31933c0856fdc317.js
[2026-06-04T07:21:25.065Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/974-9334e3a806913cc7.js
[2026-06-04T07:21:25.329Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/283-9d8b4ccdaae03a4f.js
[2026-06-04T07:21:25.595Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4492-30685143d08d24e4.js
[2026-06-04T07:21:25.853Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/1924-b7cc88613c9a5cc0.js
[2026-06-04T07:21:26.114Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8667-3df8565640301d63.js
[2026-06-04T07:21:26.357Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9433-208cfb3caac53461.js
[2026-06-04T07:21:26.608Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/7911-4efcff2b55897d1a.js
[2026-06-04T07:21:26.835Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/6317-88007400c32f03ea.js
[2026-06-04T07:21:27.078Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/430-ea853700c4260c13.js
[2026-06-04T07:21:27.308Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/404-303da11e476efc62.js
[2026-06-04T07:21:27.577Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9919-3284e0276d40a5e5.js
