[2026-06-05T07:03:30.305Z] [INFO] ApiClient initialized for https://www.brya.com
[2026-06-05T07:03:30.306Z] [INFO] GET /
[2026-06-05T07:03:30.382Z] [INFO] HEAD https://www.brya.com/_next/static/css/801cd4eae2be30b6.css
[2026-06-05T07:03:30.389Z] [INFO] HEAD https://www.brya.com/_next/static/css/cc448013a6babda7.css
[2026-06-05T07:03:30.707Z] [INFO] HEAD https://www.brya.com/_next/static/css/0e7f090af69e5839.css
[2026-06-05T07:03:31.027Z] [INFO] HEAD https://www.brya.com/_next/static/css/cb8544a4ef612ecd.css
[2026-06-05T07:03:31.349Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/webpack-e3e2529f5169c16a.js
[2026-06-05T07:03:31.668Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4bd1b696-100b9d70ed4e49c1.js
[2026-06-05T07:03:31.985Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9da6db1e-73b2aa973a9b8780.js
[2026-06-05T07:03:32.305Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/1255-162581d9bc99b472.js
[2026-06-05T07:03:32.623Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/main-app-8fa8cd76b9fdb0d5.js
[2026-06-05T07:03:32.943Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/ee560e2c-255e3af5c2d07b72.js
[2026-06-05T07:03:32.949Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/39e18b24-78986d98cff8e162.js
[2026-06-05T07:03:33.270Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/c7fa2fc2-154a2727a35de7d5.js
[2026-06-05T07:03:33.588Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/53c13509-617eec67df943ceb.js
[2026-06-05T07:03:33.905Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8e1d74a4-c6990256990100f1.js
[2026-06-05T07:03:33.911Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/795d4814-541cc17639636796.js
[2026-06-05T07:03:33.917Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/870fdd6f-94840e121682fb27.js
[2026-06-05T07:03:33.923Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/812-563e616e82fed7d3.js
[2026-06-05T07:03:33.930Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/2619-04bc32f026a0d946.js
[2026-06-05T07:03:34.250Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8381-2aee38c6b3e7afc9.js
[2026-06-05T07:03:34.571Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/302-4155030d22ffa409.js
[2026-06-05T07:03:34.889Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/5889-ffb931142bdcda70.js
[2026-06-05T07:03:35.209Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/1356-e227f5618279b1ef.js
[2026-06-05T07:03:35.528Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/6302-246a9b4cc3026398.js
[2026-06-05T07:03:35.846Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4805-e444fc05a123a39e.js
[2026-06-05T07:03:36.166Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9272-773502f361f26014.js
[2026-06-05T07:03:36.483Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/7291-6a408920a002c548.js
[2026-06-05T07:03:36.799Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8923-2c5dec4c510af613.js
[2026-06-05T07:03:37.118Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4284-7476064de9891969.js
[2026-06-05T07:03:37.434Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/2505-efcf190b2dcd3682.js
[2026-06-05T07:03:37.752Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/974-9334e3a806913cc7.js
[2026-06-05T07:03:38.070Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4492-30685143d08d24e4.js
[2026-06-05T07:03:38.386Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/5938-80df1437a1da4514.js
[2026-06-05T07:03:38.703Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/1924-b7cc88613c9a5cc0.js
[2026-06-05T07:03:39.021Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8667-3df8565640301d63.js
[2026-06-05T07:03:39.346Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9433-208cfb3caac53461.js
[2026-06-05T07:03:39.665Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/7911-4efcff2b55897d1a.js
[2026-06-05T07:03:39.984Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/6317-88007400c32f03ea.js
[2026-06-05T07:03:40.299Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/430-ea853700c4260c13.js
[2026-06-05T07:03:40.618Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/404-303da11e476efc62.js
[2026-06-05T07:03:40.936Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9919-3284e0276d40a5e5.js
