"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3271","@regression renders the mission narrative","ui-firefox","2026-06-06","passed","2026-06-06","About Page","ui/about.spec.ts","",""
"","1292","@regression renders the mission narrative","ui-chromium","2026-06-06","passed","2026-06-06","About Page","ui/about.spec.ts","",""
"","2817","@regression every image declares an alt attribute","ui-firefox","2026-06-06","passed","2026-06-06","Accessibility — structural smoke","ui/accessibility.spec.ts","",""
"","1396","@regression exactly one <h1> on the page","ui-chromium","2026-06-06","passed","2026-06-06","Accessibility — structural smoke","ui/accessibility.spec.ts","",""
"","2408","@regression social outbound links use rel=""noopener""","ui-firefox","2026-06-06","passed","2026-06-06","Footer","ui/footer.spec.ts","",""
"","3043","@regression partners hero is visible","ui-firefox","2026-06-06","passed","2026-06-06","Partners Page","ui/partners.spec.ts","",""
"","2041","@regression privacy and terms links are present","ui-chromium","2026-06-06","passed","2026-06-06","Footer","ui/footer.spec.ts","",""
"","2681","@regression exactly one <h1> on the page","ui-firefox","2026-06-06","passed","2026-06-06","Accessibility — structural smoke","ui/accessibility.spec.ts","",""
"","5005","@regression renders correctly at tablet-portrait (768x1024)","ui-webkit","2026-06-06","passed","2026-06-06","","ui/responsive.spec.ts","",""
"","2732","@smoke footer is visible","ui-firefox","2026-06-06","passed","2026-06-06","Footer","ui/footer.spec.ts","",""
"","7913","@regression client-side rejects invalid email formats","ui-mobile","2026-06-06","passed","2026-06-06","Contact Page","ui/contact.spec.ts","",""
"","5382","@regression renders the mission narrative","ui-webkit","2026-06-06","passed","2026-06-06","About Page","ui/about.spec.ts","",""
"","1523","@regression renders the mission narrative","ui-mobile","2026-06-06","passed","2026-06-06","About Page","ui/about.spec.ts","",""
"","1004","@regression logo links to home","ui-mobile","2026-06-06","passed","2026-06-06","Homepage","ui/home.spec.ts","",""
"","2646","@regression every image declares an alt attribute","ui-webkit","2026-06-06","passed","2026-06-06","Accessibility — structural smoke","ui/accessibility.spec.ts","",""
"","1149","@seo declares a canonical URL","ui-chromium","2026-06-06","passed","2026-06-06","Homepage","ui/home.spec.ts","",""
"","2556","@regression renders correctly at tablet-portrait (768x1024)","ui-mobile","2026-06-06","passed","2026-06-06","","ui/responsive.spec.ts","",""
"","5523","@regression no horizontal overflow at common viewports","ui-webkit","2026-06-06","passed","2026-06-06","","ui/responsive.spec.ts","",""
"","622","@smoke homepage responds within performance budget","api","2026-06-06","passed","2026-06-06","API · Health & availability","api/health.spec.ts","",""
"","3203","@regression no horizontal overflow at common viewports","ui-chromium","2026-06-06","passed","2026-06-06","","ui/responsive.spec.ts","",""
"","2542","@smoke loads with HTTP 200 and brand title","ui-firefox","2026-06-06","passed","2026-06-06","Homepage","ui/home.spec.ts","",""
"","1161","@regression primary CTA is visible and clickable","ui-mobile","2026-06-06","passed","2026-06-06","Homepage","ui/home.spec.ts","",""
"","5163","@regression no horizontal overflow at common viewports","ui-firefox","2026-06-06","passed","2026-06-06","","ui/responsive.spec.ts","",""
"","2800","@regression primary CTA is visible and clickable","ui-firefox","2026-06-06","passed","2026-06-06","Homepage","ui/home.spec.ts","",""
"","3334","@regression no critical JavaScript errors thrown during load","ui-chromium","2026-06-06","passed","2026-06-06","Homepage","ui/home.spec.ts","",""
"","1005","@seo exposes OpenGraph metadata for social sharing","ui-mobile","2026-06-06","passed","2026-06-06","Homepage","ui/home.spec.ts","",""
"","167","@regression valid submission flow","ui-mobile","2026-06-06","skipped","2026-06-06","Contact Page","ui/contact.spec.ts","",""
"","330","@regression /robots.txt is served and not blocking everything","api","2026-06-06","passed","2026-06-06","API · SEO & discoverability","api/seo.spec.ts","",""
"","2876","@seo declares a canonical URL","ui-firefox","2026-06-06","passed","2026-06-06","Homepage","ui/home.spec.ts","",""
"","2552","@regression renders correctly at mobile-portrait (375x812)","ui-mobile","2026-06-06","passed","2026-06-06","","ui/responsive.spec.ts","",""
"","3153","@regression interactive elements have accessible names","ui-firefox","2026-06-06","passed","2026-06-06","Accessibility — structural smoke","ui/accessibility.spec.ts","",""
"","1490","@regression /about loads with a valid response","ui-mobile","2026-06-06","passed","2026-06-06","About Page","ui/about.spec.ts","",""
"","3543","@regression renders correctly at tablet-portrait (768x1024)","ui-firefox","2026-06-06","passed","2026-06-06","","ui/responsive.spec.ts","",""
"","1944","@regression mobile menu toggles on small viewports","ui-webkit","2026-06-06","passed","2026-06-06","Global Navigation","ui/navigation.spec.ts","",""
"","5380","@regression /about loads with a valid response","ui-webkit","2026-06-06","passed","2026-06-06","About Page","ui/about.spec.ts","",""
"","1766","@regression contact form is visible","ui-mobile","2026-06-06","passed","2026-06-06","Contact Page","ui/contact.spec.ts","",""
"","3880","@regression all footer links resolve (no dead links)","ui-chromium","2026-06-06","passed","2026-06-06","Footer","ui/footer.spec.ts","",""
"","777","@regression /sitemap.xml exists or is referenced by robots","api","2026-06-06","failed","2026-06-06","API · SEO & discoverability","api/seo.spec.ts","",""
"","1175","@seo has a non-empty meta description","ui-chromium","2026-06-06","passed","2026-06-06","Homepage","ui/home.spec.ts","",""
"","69","@regression HEAD / returns headers without body","api","2026-06-06","passed","2026-06-06","API · HTTP method semantics","api/http-methods.spec.ts","",""
"","5383","@regression contact form is visible","ui-webkit","2026-06-06","passed","2026-06-06","Contact Page","ui/contact.spec.ts","",""
"","3340","@regression renders correctly at mobile-portrait (375x812)","ui-webkit","2026-06-06","passed","2026-06-06","","ui/responsive.spec.ts","",""
"","2221","@seo declares a canonical URL","ui-webkit","2026-06-06","passed","2026-06-06","Homepage","ui/home.spec.ts","",""
"","2230","@regression mobile menu toggles on small viewports","ui-firefox","2026-06-06","passed","2026-06-06","Global Navigation","ui/navigation.spec.ts","",""
"","4675","@regression no critical JavaScript errors thrown during load","ui-webkit","2026-06-06","failed","2026-06-06","Homepage","ui/home.spec.ts","",""
"","1162","@regression logo links to home","ui-chromium","2026-06-06","passed","2026-06-06","Homepage","ui/home.spec.ts","",""
"","2488","@seo exposes OpenGraph metadata for social sharing","ui-firefox","2026-06-06","passed","2026-06-06","Homepage","ui/home.spec.ts","",""
"","3183","@regression renders correctly at desktop-1080p (1920x1080)","ui-firefox","2026-06-06","passed","2026-06-06","","ui/responsive.spec.ts","",""
"","800","@regression Content-Type declares charset","api","2026-06-06","passed","2026-06-06","API · Security headers","api/security-headers.spec.ts","",""
"","65","@regression favicon is served","api","2026-06-06","passed","2026-06-06","API · SEO & discoverability","api/seo.spec.ts","",""
"","2340","@smoke displays the brand tagline ""Get out. Get social. Repeat.""","ui-firefox","2026-06-06","passed","2026-06-06","Homepage","ui/home.spec.ts","",""
"","1869","@smoke header is visible on the homepage","ui-mobile","2026-06-06","passed","2026-06-06","Global Navigation","ui/navigation.spec.ts","",""
"","9885","@regression client-side rejects invalid email formats","ui-firefox","2026-06-06","passed","2026-06-06","Contact Page","ui/contact.spec.ts","",""
"","2342","@regression contact form is visible","ui-firefox","2026-06-06","passed","2026-06-06","Contact Page","ui/contact.spec.ts","",""
"","2660","@regression header is visible on /about","ui-webkit","2026-06-06","passed","2026-06-06","Global Navigation","ui/navigation.spec.ts","",""
"","1098","@regression /partners loads with success status","ui-mobile","2026-06-06","passed","2026-06-06","Partners Page","ui/partners.spec.ts","",""
"","3237","@regression renders correctly at mobile-portrait (375x812)","ui-firefox","2026-06-06","passed","2026-06-06","","ui/responsive.spec.ts","",""
"","2280","@regression logo links to home","ui-webkit","2026-06-06","passed","2026-06-06","Homepage","ui/home.spec.ts","",""
"","1261","@regression /partners loads with success status","ui-chromium","2026-06-06","passed","2026-06-06","Partners Page","ui/partners.spec.ts","",""
"","2043","@smoke loads with HTTP 200 and brand title","ui-mobile","2026-06-06","passed","2026-06-06","Homepage","ui/home.spec.ts","",""
"","1209","@regression primary CTA is visible and clickable","ui-chromium","2026-06-06","passed","2026-06-06","Homepage","ui/home.spec.ts","",""
"","148","@regression Server header does not leak software version","api","2026-06-06","passed","2026-06-06","API · Security headers","api/security-headers.spec.ts","",""
"","1825","@regression header is visible on /about","ui-mobile","2026-06-06","passed","2026-06-06","Global Navigation","ui/navigation.spec.ts","",""
"","1746","@smoke header is visible on the homepage","ui-chromium","2026-06-06","passed","2026-06-06","Global Navigation","ui/navigation.spec.ts","",""
"","150","@regression clickjacking protection (X-Frame-Options or CSP)","api","2026-06-06","passed","2026-06-06","API · Security headers","api/security-headers.spec.ts","",""
"","4044","@regression all footer links resolve (no dead links)","ui-mobile","2026-06-06","passed","2026-06-06","Footer","ui/footer.spec.ts","",""
"","3263","@seo has a non-empty meta description","ui-webkit","2026-06-06","passed","2026-06-06","Homepage","ui/home.spec.ts","",""
"","2137","@regression contact CTA routes to the contact page","ui-mobile","2026-06-06","passed","2026-06-06","Partners Page","ui/partners.spec.ts","",""
"","1073","@seo declares a canonical URL","ui-mobile","2026-06-06","passed","2026-06-06","Homepage","ui/home.spec.ts","",""
"","410","@regression valid submission flow","ui-firefox","2026-06-06","skipped","2026-06-06","Contact Page","ui/contact.spec.ts","",""
"","176","@regression Strict-Transport-Security is set","api","2026-06-06","passed","2026-06-06","API · Security headers","api/security-headers.spec.ts","",""
"","1085","@regression every image declares an alt attribute","ui-mobile","2026-06-06","passed","2026-06-06","Accessibility — structural smoke","ui/accessibility.spec.ts","",""
"","1941","@regression html declares a lang attribute","ui-webkit","2026-06-06","passed","2026-06-06","Accessibility — structural smoke","ui/accessibility.spec.ts","",""
"","157","@regression trailing-slash canonicalization is consistent","api","2026-06-06","passed","2026-06-06","API · HTTP method semantics","api/http-methods.spec.ts","",""
"","2172","@regression partners hero is visible","ui-mobile","2026-06-06","passed","2026-06-06","Partners Page","ui/partners.spec.ts","",""
"","1407","@regression interactive elements have accessible names","ui-mobile","2026-06-06","passed","2026-06-06","Accessibility — structural smoke","ui/accessibility.spec.ts","",""
"","10153","@regression client-side rejects invalid email formats","ui-webkit","2026-06-06","passed","2026-06-06","Contact Page","ui/contact.spec.ts","",""
"","2436","@regression contact CTA routes to the contact page","ui-chromium","2026-06-06","passed","2026-06-06","Partners Page","ui/partners.spec.ts","",""
"","2213","@regression /contact loads with success status","ui-firefox","2026-06-06","passed","2026-06-06","Contact Page","ui/contact.spec.ts","",""
"","2702","@regression renders correctly at desktop-1080p (1920x1080)","ui-chromium","2026-06-06","passed","2026-06-06","","ui/responsive.spec.ts","",""
